Freq.	V(vout)
1.00000000000000e+000	(-1.22289374956052e-003dB,-2.98575744283221e-002°)
1.00230523807790e+000	(-1.22289366388725e-003dB,-2.99264032467258e-002°)
1.00461579027840e+000	(-1.22289357785038e-003dB,-2.99953907319490e-002°)
1.00693166885180e+000	(-1.22289349141422e-003dB,-3.00645372497588e-002°)
1.00925288607668e+000	(-1.22289340455948e-003dB,-3.01338431667580e-002°)
1.01157945425990e+000	(-1.22289331733439e-003dB,-3.02033088504035e-002°)
1.01391138573668e+000	(-1.22289322966757e-003dB,-3.02729346689949e-002°)
1.01624869287070e+000	(-1.22289314160629e-003dB,-3.03427209916789e-002°)
1.01859138805412e+000	(-1.22289305321806e-003dB,-3.04126681884629e-002°)
1.02093948370768e+000	(-1.22289296433216e-003dB,-3.04827766301929e-002°)
1.02329299228075e+000	(-1.22289287506530e-003dB,-3.05530466885774e-002°)
1.02565192625141e+000	(-1.22289278538854e-003dB,-3.06234787361838e-002°)
1.02801629812647e+000	(-1.22289269524788e-003dB,-3.06940731464360e-002°)
1.03038612044162e+000	(-1.22289260475519e-003dB,-3.07648302936181e-002°)
1.03276140576140e+000	(-1.22289251381402e-003dB,-3.08357505528744e-002°)
1.03514216667934e+000	(-1.22289242248899e-003dB,-3.09068343002211e-002°)
1.03752841581801e+000	(-1.22289233069813e-003dB,-3.09780819125376e-002°)
1.03992016582906e+000	(-1.22289223850509e-003dB,-3.10494937675662e-002°)
1.04231742939330e+000	(-1.22289214589926e-003dB,-3.11210702439340e-002°)
1.04472021922080e+000	(-1.22289205284013e-003dB,-3.11928117211233e-002°)
1.04712854805090e+000	(-1.22289195934796e-003dB,-3.12647185795097e-002°)
1.04954242865232e+000	(-1.22289186544782e-003dB,-3.13367912003278e-002°)
1.05196187382322e+000	(-1.22289177110884e-003dB,-3.14090299657037e-002°)
1.05438689639126e+000	(-1.22289167633876e-003dB,-3.14814352586410e-002°)
1.05681750921366e+000	(-1.22289158110380e-003dB,-3.15540074630191e-002°)
1.05925372517729e+000	(-1.22289148543290e-003dB,-3.16267469636176e-002°)
1.06169555719872e+000	(-1.22289138936175e-003dB,-3.16996541460918e-002°)
1.06414301822431e+000	(-1.22289129276208e-003dB,-3.17727293969846e-002°)
1.06659612123026e+000	(-1.22289119578819e-003dB,-3.18459731037326e-002°)
1.06905487922266e+000	(-1.22289109838705e-003dB,-3.19193856546780e-002°)
1.07151930523761e+000	(-1.22289100049017e-003dB,-3.19929674390315e-002°)
1.07398941234124e+000	(-1.22289090215543e-003dB,-3.20667188469283e-002°)
1.07646521362983e+000	(-1.22289080340790e-003dB,-3.21406402693876e-002°)
1.07894672222983e+000	(-1.22289070409133e-003dB,-3.22147320983281e-002°)
