Freq.	V(vout)
1.00000000000000e+000	(-1.87625146623314e-004dB,-3.03413414954913e-002°)
1.00230523807790e+000	(-1.87625196042307e-004dB,-3.04112855119353e-002°)
1.00461579027840e+000	(-1.87625245697565e-004dB,-3.04813907659917e-002°)
1.00693166885180e+000	(-1.87625295569801e-004dB,-3.05516576293537e-002°)
1.00925288607668e+000	(-1.87625345678303e-004dB,-3.06220864745711e-002°)
1.01157945425990e+000	(-1.87625396024999e-004dB,-3.06926776750461e-002°)
1.01391138573668e+000	(-1.87625446591567e-004dB,-3.07634316050558e-002°)
1.01624869287070e+000	(-1.87625497402114e-004dB,-3.08343486397171e-002°)
1.01859138805412e+000	(-1.87625548437355e-004dB,-3.09054291550363e-002°)
1.02093948370768e+000	(-1.87625599719468e-004dB,-3.09766735278692e-002°)
1.02329299228075e+000	(-1.87625651231097e-004dB,-3.10480821359488e-002°)
1.02565192625141e+000	(-1.87625702977062e-004dB,-3.11196553578737e-002°)
1.02801629812647e+000	(-1.87625754960257e-004dB,-3.11913935731250e-002°)
1.03038612044162e+000	(-1.87625807197076e-004dB,-3.12632971620441e-002°)
1.03276140576140e+000	(-1.87625859668231e-004dB,-3.13353665058577e-002°)
1.03514216667934e+000	(-1.87625912375652e-004dB,-3.14076019866774e-002°)
1.03752841581801e+000	(-1.87625965332838e-004dB,-3.14800039874793e-002°)
1.03992016582906e+000	(-1.87626018535934e-004dB,-3.15525728921344e-002°)
1.04231742939330e+000	(-1.87626071981081e-004dB,-3.16253090853996e-002°)
1.04472021922080e+000	(-1.87626125667315e-004dB,-3.16982129529135e-002°)
1.04712854805090e+000	(-1.87626179610066e-004dB,-3.17712848812006e-002°)
1.04954242865232e+000	(-1.87626233806440e-004dB,-3.18445252576884e-002°)
1.05196187382322e+000	(-1.87626288236187e-004dB,-3.19179344706872e-002°)
1.05438689639126e+000	(-1.87626342930165e-004dB,-3.19915129094027e-002°)
1.05681750921366e+000	(-1.87626397872945e-004dB,-3.20652609639420e-002°)
1.05925372517729e+000	(-1.87626453068384e-004dB,-3.21391790253112e-002°)
1.06169555719872e+000	(-1.87626508521304e-004dB,-3.22132674854128e-002°)
1.06414301822431e+000	(-1.87626564230741e-004dB,-3.22875267370609e-002°)
1.06659612123026e+000	(-1.87626620190908e-004dB,-3.23619571739706e-002°)
1.06905487922266e+000	(-1.87626676414342e-004dB,-3.24365591907632e-002°)
1.07151930523761e+000	(-1.87626732896222e-004dB,-3.25113331829722e-002°)
1.07398941234124e+000	(-1.87626789644262e-004dB,-3.25862795470375e-002°)
1.07646521362983e+000	(-1.87626846650747e-004dB,-3.26613986803254e-002°)
1.07894672222983e+000	(-1.87626903913749e-004dB,-3.27366909811045e-002°)
1.08143395129794e+000	(-1.87626961446769e-004dB,-3.28121568485676e-002°)
1.08392691402120e+000	(-1.87627019244020e-004dB,-3.28877966828263e-002°)
1.08642562361706e+000	(-1.87627077309359e-004dB,-3.29636108849202e-002°)
1.08893009333343e+000	(-1.87627135644717e-004dB,-3.30395998568058e-002°)
1.09144033644876e+000	(-1.87627194245270e-004dB,-3.31157640013653e-002°)
1.09395636627209e+000	(-1.87627253114876e-004dB,-3.31921037224210e-002°)
1.09647819614318e+000	(-1.87627312263179e-004dB,-3.32686194247134e-002°)
1.09900583943252e+000	(-1.87627371672820e-004dB,-3.33453115139223e-002°)
1.10153930954141e+000	(-1.87627431368872e-004dB,-3.34221803966643e-002°)
1.10407861990207e+000	(-1.87627491334943e-004dB,-3.34992264804857e-002°)
1.10662378397766e+000	(-1.87627551572959e-004dB,-3.35764501738788e-002°)
1.10917481526240e+000	(-1.87627612102209e-004dB,-3.36538518862786e-002°)
1.11173172728159e+000	(-1.87627672901476e-004dB,-3.37314320280594e-002°)
1.11429453359173e+000	(-1.87627733982333e-004dB,-3.38091910105421e-002°)
1.11686324778056e+000	(-1.87627795347672e-004dB,-3.38871292460028e-002°)
1.11943788346715e+000	(-1.87627856991708e-004dB,-3.39652471476529e-002°)
1.12201845430196e+000	(-1.87627918930835e-004dB,-3.40435451296723e-002°)
1.12460497396692e+000	(-1.87627981144801e-004dB,-3.41220236071922e-002°)
1.12719745617551e+000	(-1.87628043650965e-004dB,-3.42006829962907e-002°)
1.12979591467280e+000	(-1.87628106443540e-004dB,-3.42795237140158e-002°)
1.13240036323556e+000	(-1.87628169522526e-004dB,-3.43585461783698e-002°)
1.13501081567231e+000	(-1.87628232898532e-004dB,-3.44377508083289e-002°)
1.13762728582343e+000	(-1.87628296563843e-004dB,-3.45171380238187e-002°)
1.14024978756117e+000	(-1.87628360528101e-004dB,-3.45967082457488e-002°)
1.14287833478977e+000	(-1.87628424782628e-004dB,-3.46764618959933e-002°)
1.14551294144553e+000	(-1.87628489338996e-004dB,-3.47563993973927e-002°)
1.14815362149688e+000	(-1.87628554186597e-004dB,-3.48365211737767e-002°)
1.15080038894443e+000	(-1.87628619331218e-004dB,-3.49168276499354e-002°)
1.15345325782109e+000	(-1.87628684784430e-004dB,-3.49973192516517e-002°)
1.15611224219210e+000	(-1.87628750536590e-004dB,-3.50779964056761e-002°)
1.15877735615512e+000	(-1.87628816593484e-004dB,-3.51588595397547e-002°)
1.16144861384034e+000	(-1.87628882949326e-004dB,-3.52399090826168e-002°)
1.16412602941049e+000	(-1.87628949619545e-004dB,-3.53211454639813e-002°)
